systematic transcript name	transcript name	total 1		total2		selective 1    		selective 2		ratio 1	ratio 2	average	average [log2]	no. of included values
YAR060C	-	0.0	excluded	0.0	excluded	19.45659141064646	excluded	3.6104225794557254	excluded	n.a.	n.a.	n.a.	n.a.	0 of 4	
YAR061W	-	0.0	excluded	0.0	excluded	0.0	excluded	0.0	excluded	n.a.	n.a.	n.a.	n.a.	0 of 4	
YAR062W	-	0.0	excluded	0.0	excluded	0.0	excluded	0.0	excluded	n.a.	n.a.	n.a.	n.a.	0 of 4	
YAR064W	-	0.0	excluded	0.0	excluded	0.0	excluded	0.0	excluded	n.a.	n.a.	n.a.	n.a.	0 of 4	
YAR066W	-	458.50964736491323	included	551.4333102181496	included	192.27690335227095	excluded	126.86033847813063	included	0.41935192521531367	0.23005563161925072	0.3247037784172822	-1.6228039222370003	3 of 4	
YAR068W	-	12.2847344447652	excluded	21.257066380291466	excluded	8.967647069927587	excluded	7.488283868500764	excluded	0.7299829809303613	0.3522726859169778	0.5411278334236695	-0.8859586452698766	0 of 4	
YAR069C	-	0.0	excluded	0.0	excluded	0.0	excluded	0.0	excluded	n.a.	n.a.	n.a.	n.a.	0 of 4	
YAR070C	-	0.0	excluded	0.0	excluded	7.263794126641345	excluded	0.0	excluded	n.a.	n.a.	n.a.	n.a.	0 of 4	
YAR071W	PHO11	7178.064834033556	included	6845.59295393	included	3197.3110899319	included	3203.833452046265	included	0.44542800376675357	0.4680140162594637	0.4567210100131086	-1.1306149369982728	4 of 4	
YAR073W	IMD1	1206.8839359225983	included	1298.470010229787	included	1210.0330314924831	included	1195.0856205580587	included	1.002609277890071	0.9203798402294769	0.961494559059774	-0.05664940127402722	4 of 4	
YAR075W	-	1020.2549707861335	included	1322.243344212055	included	1852.7272360990248	included	1850.3644227468774	included	1.8159453167588582	1.399412922626234	1.6076791196925462	0.6849794844869449	4 of 4	
